MGI	HGNC
Nphp3	NPHP3-ACAD11
Nphp3	NPHP3
Sucnr1	SUCNR1
B3gnt7	B3GNT7
Setx	SETX
Endov	ENDOV
Kdm1a	KDM1A
Trps1	TRPS1
Dctn3	DCTN3
Atp8b3	ATP8B3
Polr2l	POLR2L
Rab8a	RAB8A
Eif2ak2	EIF2AK2
Zfp942	ZNF34
Ssxb2	SSX5
Ssxb2	SSX1
Ssxb2	SSX3
Gm28043	RNF8
Ubr5	UBR5
Gpr160	GPR160
Rpl8	RPL8
Gm527	C14orf28
Aloxe3	ALOXE3
Vstm4	VSTM4
Gbx1	GBX1
Prkar2a	PRKAR2A
1700011M02Rik	FAM236D
1700011M02Rik	FAM236B
1700011M02Rik	FAM236A
1700011M02Rik	FAM236C
Oit1	FAM3D
Dntt	DNTT
Bex4	BEX4
Lrp3	LRP3
Arntl	ARNTL
Prtn3	PRTN3
Wdr61	WDR61
Cd276	CD276
Gm884	LRRC37A
Gm884	LRRC37A2
Chmp6	CHMP6
Hnrnph3	HNRNPH3
Gm37240	ARFIP1
Olfr17	OR10A4
Htatip2	HTATIP2
Pmpcb	PMPCB
Jam3	JAM3
Cdkn2b	CDKN2B
Olfr675	OR52E8
Olfr675	OR52E6
Kbtbd3	KBTBD3
Stkld1	STKLD1
Pik3cb	PIK3CB
Ddx42	DDX42
Slc45a1	SLC45A1
Nfatc1	NFATC1
Gata2	GATA2
Pcsk5	PCSK5
Tmem108	TMEM108
Cacna1i	CACNA1I
Dda1	DDA1
Rcn1	RCN1
Gpat2	GPAT2
Eif2ak4	EIF2AK4
Chd3	CHD3
Slc1a4	SLC1A4
Boll	BOLL
Kctd4	KCTD4
Rom1	ROM1
Glg1	GLG1
Spon2	SPON2
Adam17	ADAM17
Nqo2	NQO2
Rab30	RAB30
Large2	LARGE2
Pdcl	PDCL
Grk3	GRK3
Zfp760	ZNF34
Cep70	CEP70
Cog4	COG4
Ap2b1	AP2B1
Olfr435	OR2A1
Olfr435	OR2A42
Tacc1	TACC1
Sftpd	SFTPD
Gtf2f1	GTF2F1
Cebpz	CEBPZ
a	ASIP
Prkcb	PRKCB
Celf4	CELF4
Rpgrip1l	RPGRIP1L
Npas2	NPAS2
Mospd1	MOSPD1
Xkr6	XKR6
Haghl	HAGHL
Mecom	MECOM
Sgsm1	SGSM1
Fam84a	FAM84A
Hoxa6	HOXA6
Dnah2	DNAH2
G6pd2	G6PD
Cecr2	CECR2
Itgb5	ITGB5
Coq2	COQ2
Nudt16l1	NUDT16L1
Chd9	CHD9
Myom1	MYOM1
Acrbp	ACRBP
Gm13305	IL11RA
Rpl12	RPL12
Mpdz	MPDZ
Cstf2	CSTF2
Olfr1424	OR4D10
Tpte	TPTE
Ces2g	CES2
Gzma	GZMA
Srrt	SRRT
Rcbtb2	RCBTB2
Camta1	CAMTA1
Igf2	IGF2
Ncoa6	NCOA6
Rrn3	RRN3
Cep89	CEP89
Loxl2	LOXL2
Sugp2	SUGP2
Jmjd8	JMJD8
Entpd6	ENTPD6
Jpt2	JPT2
Dlg3	DLG3
Pecam1	PECAM1
Mturn	MTURN
Tmed4	TMED4
Bambi	BAMBI
Errfi1	ERRFI1
Serpini2	SERPINI2
Matn2	MATN2
Xkr9	XKR9
Insc	INSC
Ephb2	EPHB2
Zcchc14	ZCCHC14
Olfr3	OR1J1
Mgea5	OGA
Ccdc107	CCDC107
Dixdc1	DIXDC1
Trmt44	TRMT44
Sqor	SQOR
Ly6g6e	LY6G6E
Ttc30a1	TTC30B
Ttc30a1	TTC30A
Gpx1	GPX1
Fhl2	FHL2
Dapl1	DAPL1
Crispld1	CRISPLD1
Cpq	CPQ
Galnt17	GALNT17
Tmem14c	TMEM14C
Rhoa	RHOA
Ddx52	DDX52
Fhod3	FHOD3
Prima1	PRIMA1
Tmem80	TMEM80
Otub1	OTUB1
Fgl1	FGL1
Ifna12	IFNA21
Ifna12	IFNA4
Ifna12	IFNA14
Ifna12	IFNA10
Ifna12	IFNA16
Ifna12	IFNA17
Ifna12	IFNA7
Ifna12	IFNA5
Ifna12	IFNA6
Ifna12	IFNA13
Ifna12	IFNA2
Ifna12	IFNA8
Ifna12	IFNA1
Tcf12	TCF12
Jph2	JPH2
Blcap	BLCAP
Zfp446	ZNF446
Tlr1	TLR1
Srpx	SRPX
Ly6e	LY6E
Upp2	UPP2
Il2ra	IL2RA
Naa50	NAA50
Scn10a	SCN10A
Kcnj2	KCNJ2
Rab44	RAB44
Ncapd3	NCAPD3
Zswim2	ZSWIM2
Gm49354	TUT7
Plekhh2	PLEKHH2
Misp	MISP
Rida	RIDA
Rad1	RAD1
Mxra8	MXRA8
Stk16	STK16
Idh3b	IDH3B
Zfp943	ZNF34
Gm10031	CSNK2A1
Sod3	SOD3
Cpz	CPZ
Zfpl1	ZFPL1
Skiv2l	SKIV2L
Meis2	MEIS2
Mapk8	MAPK8
Ripor3	RIPOR3
Serpina1f	SERPINA2
Hoxa10	HOXA10
Trim2	TRIM2
Creld2	CRELD2
Ccdc194	CCDC194
Aamp	AAMP
Slc25a45	SLC25A45
Prmt8	PRMT8
Cpsf3	CPSF3
Eif3e	EIF3E
Ngb	NGB
Ypel2	YPEL2
Npy4r	NPY4R2
Krt79	KRT79
Tmbim1	TMBIM1
Prmt1	PRMT1
Ntng2	NTNG2
Serpina9	SERPINA9
B4gat1	B4GAT1
Tspan33	TSPAN33
Tcaim	TCAIM
Fam166b	FAM166B
Hras	HRAS
Bst2	BST2
Zfp763	ZNF487
Slc22a18	SLC22A18
Cybrd1	CYBRD1
Ube2o	UBE2O
Amz1	AMZ1
Adamts5	ADAMTS5
Nudt19	NUDT19
Kpna6	KPNA6
Dzank1	DZANK1
Pp2d1	PP2D1
Zfp160	ZNF160
Zfp160	ZNF665
Creb3l3	CREB3L3
Grina	GRINA
Enho	ENHO
Tnpo3	TNPO3
Sec62	SEC62
Cpxm1	CPXM1
Apol10a	APOL4
Apol10a	APOL2
Apol10a	APOL1
Gm6592	SSX5
Gm6592	SSX1
Gm6592	SSX3
Bcl2	BCL2
Sf3b3	SF3B3
Zfp41	ZFP41
Slc24a2	SLC24A2
Dcps	DCPS
Prr12	PRR12
Eif2s2	EIF2S2
Clec16a	CLEC16A
Cebpa	CEBPA
Xrcc4	XRCC4
Dapk1	DAPK1
Mcm9	MCM9
Ap1b1	AP1B1
Epb42	EPB42
Pcdha6	PCDHA8
Pcdha6	PCDHA6
Krt8	KRT8
Foxred1	FOXRED1
Lsm12	LSM12
Ticam1	TICAM1
Esyt1	ESYT1
Pnma2	PNMA2
Eef2	EEF2
Lect2	LECT2
Aadacl3	AADACL3
Il18	IL18
Zfp459	ZNF845
Chrdl1	CHRDL1
Sytl4	SYTL4
Cd38	CD38
Lonp2	LONP2
Slc18a1	SLC18A1
Tsen54	TSEN54
Dexi	DEXI
Hspb3	HSPB3
Gsdma	GSDMA
Nfatc4	NFATC4
Trim65	TRIM65
Nup43	NUP43
Mapk4	MAPK4
Sit1	SIT1
Rras	RRAS
Cdhr4	CDHR4
Otud5	OTUD5
Lrfn4	LRFN4
Ano1	ANO1
Padi6	PADI6
Mcm3	MCM3
Aasdhppt	AASDHPPT
Tarsl2	TARSL2
Hpse	HPSE
Prg2	PRG2
Slc35f1	SLC35F1
Tspan9	TSPAN9
Tenm3	TENM3
Emp1	EMP1
Prdx4	PRDX4
Dennd6a	DENND6A
AA467197	C15orf48
Sbpl	ZG16B
Cmtm8	CMTM8
Adgrf3	ADGRF3
Orm2	ORM1
Orm2	ORM2
Ttc30b	TTC30B
Ttc30b	TTC30A
Akr1e1	AKR1E2
4932438H23Rik	C21orf62
Tex48	TEX48
Grm5	GRM5
Zfp985	ZNF34
Vps36	VPS36
Traf3ip1	TRAF3IP1
Ces2a	CES2
Pola2	POLA2
Olfr703	OR2AG2
Olfr703	OR2AG1
Ly75	LY75-CD302
Ly75	LY75
Pop1	POP1
P4htm	P4HTM
Rab39b	RAB39B
Prkag2	PRKAG2
Klhl28	KLHL28
Pdp2	PDP2
Adcy3	ADCY3
Wrnip1	WRNIP1
Tex13c2	TEX13D
Ankk1	ANKK1
Poln	POLN
Sidt1	SIDT1
Boc	BOC
Trip10	TRIP10
Creg2	CREG2
Zan	ZAN
4930505A04Rik	C2orf73
Helz	HELZ
Tmem168	TMEM168
Ambn	AMBN
4932438A13Rik	KIAA1109
Grk5	GRK5
Sstr5	SSTR5
Mfsd1	MFSD1
Tigd5	TIGD5
Stx1a	STX1A
Gm13697	CWC22
Stxbp1	STXBP1
Galnt3	GALNT3
Rbfox1	RBFOX1
Rapgef1	RAPGEF1
Dnajc2	DNAJC2
March10	MARCH10
Lpar5	LPAR5
Bdp1	BDP1
Cwf19l2	CWF19L2
Ube2u	UBE2U
Mypop	MYPOP
Olfr1310	OR4F6
Marf1	MARF1
Recql	RECQL
Kbtbd12	KBTBD12
Rptor	RPTOR
Nyx	NYX
Armc6	ARMC6
Spout1	SPOUT1
Zfp217	ZNF217
Fbxl16	FBXL16
Tshz2	TSHZ2
Spata25	SPATA25
Rraga	RRAGA
Hephl1	HEPHL1
Vit	VIT
Prmt9	PRMT9
Eef1g	EEF1G
Rab22a	RAB22A
Hspg2	HSPG2
Erlec1	ERLEC1
Npy5r	NPY5R
Smurf1	SMURF1
Acsm5	ACSM5
Pigu	PIGU
Plp1	PLP1
Mfn1	MFN1
Nlrp14	NLRP14
Unc5c	UNC5C
Top1mt	TOP1MT
4931440F15Rik	FEM1A
Dopey2	DOP1B
Amelx	AMELX
Trmt10c	TRMT10C
Rps19bp1	RPS19BP1
Fam90a1b	FAM90A1
Hint1	HINT1
Cbr4	CBR4
Gm21677	RBMY1F
Gm21677	RBMY1J
Cd59b	CD59
Pes1	PES1
Cbarp	CBARP
Lsmem1	LSMEM1
Mettl4	METTL4
Gpatch1	GPATCH1
Atp5d	ATP5F1D
Btbd2	BTBD2
Kif3b	KIF3B
Ntan1	NTAN1
Slfn2	SLFN12
Slfn2	SLFN12L
Ppp1r8	PPP1R8
Dusp9	DUSP9
Smarcd3	SMARCD3
Slc43a1	SLC43A1
Ube2e3	UBE2E3
Slc4a7	SLC4A7
Rnmt	RNMT
Cfap70	CFAP70
Lepr	LEPR
Atp6v1e1	ATP6V1E1
Nub1	NUB1
Inppl1	INPPL1
Ptprs	PTPRS
Pik3c3	PIK3C3
Evi2b	EVI2B
Lpxn	LPXN
Cfap157	CFAP157
Capg	CAPG
Cd3d	CD3D
Il6	IL6
Tns1	TNS1
Nbas	NBAS
Kdm4b	KDM4B
Cox7c	COX7C
Olfr648	OR52H1
Serpinf2	SERPINF2
Slc25a19	SLC25A19
Fam83c	FAM83C
Tcn2	TCN2
Ubr4	UBR4
Nnt	NNT
Rtl6	RTL6
Gmnn	GMNN
Nr2f6	NR2F6
Pak1ip1	PAK1IP1
Fut10	FUT10
Tmem68	TMEM68
Prkrip1	PRKRIP1
Ccdc192	CCDC192
Sectm1a	SECTM1
Shld1	SHLD1
Gm94	C5orf46
Zfr	ZFR
Fam8a1	FAM8A1
Tas1r2	TAS1R2
Srp54a	SRP54
Acss1	ACSS1
Zfp105	ZNF35
Gna12	GNA12
Ccdc178	CCDC178
Gbe1	GBE1
Fads6	FADS6
Ccnd2	CCND2
Atp6v0d1	ATP6V0D1
Cerkl	CERKL
Ecd	ECD
AW554918	KIAA1328
Cables2	CABLES2
Slc12a9	SLC12A9
1700020L24Rik	C17orf50
Pax7	PAX7
Fgf10	FGF10
Gdpd1	GDPD1
Pofut1	POFUT1
Slc35e4	SLC35E4
Olfr624	OR51V1
Tmem107	TMEM107
Rassf4	RASSF4
Slf1	SLF1
Ache	ACHE
Kcnq2	KCNQ2
Tdrd12	TDRD12
Gpd1l	GPD1L
Npm2	NPM2
Meikin	MEIKIN
Midn	MIDN
Hoxa1	HOXA1
Ppcdc	PPCDC
Apol9b	APOL4
Apol9b	APOL2
Apol9b	APOL1
Cdan1	CDAN1
Mtfp1	MTFP1
Atp8a1	ATP8A1
Cenph	CENPH
Rex1bd	REX1BD
Smim1	SMIM1
Rnf149	RNF149
Olfr354	OR1N2
Ctbp1	CTBP1
Myt1	MYT1
Bik	BIK
Pcdh17	PCDH17
Myo5a	MYO5A
Med13	MED13
Aspa	ASPA
Mylpf	MYLPF
Bzw2	BZW2
Rtkn	RTKN
Phlpp1	PHLPP1
Cxcr2	CXCR2
Emcn	EMCN
Anapc1	ANAPC1
Phyhd1	PHYHD1
Gak	GAK
Surf4	SURF4
Mylk2	MYLK2
Cnot11	CNOT11
Cacng4	CACNG4
Pin1rt1	PIN1
Rapgef2	RAPGEF2
Fam90a1a	FAM90A1
Olfr705	OR2AG2
Olfr705	OR2AG1
Fbxw4	FBXW4
Olfr1436	OR5AN1
Fuk	FUK
Dnajc30	DNAJC30
Mrpl20	MRPL20
Hck	HCK
Brd1	BRD1
Psmb11	PSMB11
Catip	CATIP
Rap2b	RAP2B
Ctsa	CTSA
Dpagt1	DPAGT1
G6pc3	G6PC3
Zhx2	ZHX2
Psme4	PSME4
Rap1gap2	RAP1GAP2
Arl13a	ARL13A
Krt78	KRT78
Plcb4	PLCB4
Zbbx	ZBBX
Acp2	ACP2
Tuba4a	TUBA4A
Gm49340	SPATA22
Ccdc102a	CCDC102A
Fgfbp3	FGFBP3
1700021F07Rik	C20orf85
St3gal2	ST3GAL2
Cd209d	CD209
Lancl3	LANCL3
Fam196a	INSYN2
Hspd1	HSPD1
Rbsn	RBSN
Rab27b	RAB27B
Pet100	PET100
Ehd4	EHD4
Sugct	SUGCT
Mrps18c	MRPS18C
Shh	SHH
Zfp988	ZNF34
Jrkl	JRKL
Tppp3	TPPP3
Cntnap3	CNTNAP3B
Rab8b	RAB8B
Olfr402	OR3A1
Col1a1	COL1A1
Dpy19l1	DPY19L1
Drd2	DRD2
Ppp1r14c	PPP1R14C
Neil3	NEIL3
C1qc	C1QC
Med9	MED9
Atp8b1	ATP8B1
Fbxl14	FBXL14
Gm960	C11orf80
Gp2	GP2
Hmgcr	HMGCR
Rpa2	RPA2
Plcxd1	PLCXD1
Pbx2	PBX2
Prdm14	PRDM14
Mad2l1bp	MAD2L1BP
Pcdh10	PCDH10
Hoxa5	HOXA5
Olfr1293-ps	OR4F4
Aak1	AAK1
Myo18b	MYO18B
Emilin2	EMILIN2
Pitx1	PITX1
Alkbh4	ALKBH4
Zfp712	ZNF845
Cdr2l	CDR2L
Palm2	PALM2
Pcdha2	PCDHA2
Tert	TERT
Nol4	NOL4
Egflam	EGFLAM
Med4	MED4
Ptma	PTMA
Apol7c	APOL4
Apol7c	APOL2
Apol7c	APOL1
Slc39a12	SLC39A12
Clec18a	CLEC18B
Itgad	ITGAD
Jade1	JADE1
Olfr693	OR2AG2
Olfr693	OR2AG1
Wnt16	WNT16
Uba5	UBA5
B230219D22Rik	C5orf24
Gabrg1	GABRG1
Incenp	INCENP
Ripk3	RIPK3
Tspyl5	TSPYL5
Lrriq4	LRRIQ4
Bche	BCHE
Riok1	RIOK1
Mia2	CTAGE15
Mia2	CTAGE6
Mia2	CTAGE4
Mia2	CTAGE8
Pdia4	PDIA4
Rab5a	RAB5A
Npas4	NPAS4
Zkscan7	ZKSCAN7
Ifna4	IFNA21
Ifna4	IFNA4
Ifna4	IFNA14
Ifna4	IFNA10
Ifna4	IFNA16
Ifna4	IFNA17
Ifna4	IFNA7
Ifna4	IFNA5
Ifna4	IFNA6
Ifna4	IFNA13
Ifna4	IFNA2
Ifna4	IFNA8
Ifna4	IFNA1
Casc3	CASC3
Gm21704	RBMY1F
Gm21704	RBMY1J
Taf11	LINC02218
Taf11	TAF11L2
Taf11	TAF11L3
Taf11	TAF11L4
Taf11	TAF11L5
Taf11	TAF11L6
Taf11	TAF11L7
Taf11	TAF11L8
Taf11	TAF11L9
Taf11	TAF11L10
Taf11	TAF11L11
Taf11	TAF11L12
Dcc	DCC
Rps14	RPS14
Mpdu1	MPDU1
Nfu1	NFU1
Gng13	GNG13
Synpo	SYNPO
Chac2	CHAC2
Sh3tc1	SH3TC1
Rrp12	RRP12
Kctd2	KCTD2
Dusp5	DUSP5
Cd209b	CD209
Olfr714	OR10A5
Olfr714	OR10A2
Abi3bp	ABI3BP
Map2k2	MAP2K2
Idua	IDUA
Gm8765	SPATA31E1
Ttc23l	TTC23L
Ddx19b	DDX19B
Cfd	CFD
Serpina6	SERPINA6
Wdfy4	WDFY4
Fam170a	FAM170A
Necab1	NECAB1
Flywch1	FLYWCH1
Jmjd7	JMJD7
Opalin	OPALIN
Tgfbrap1	TGFBRAP1
Rab3il1	RAB3IL1
Padi4	PADI4
Ninj1	NINJ1
Vps11	VPS11
Trim8	TRIM8
Cytl1	CYTL1
Tmem88	TMEM88
Dkk1	DKK1
Rnf39	RNF39
Tfap2a	TFAP2A
Arhgef39	ARHGEF39
Hrh4	HRH4
R3hcc1	R3HCC1
Mtss1l	MTSS1L
Gpat3	GPAT3
Tssk2	TSSK2
Cd3g	CD3G
Aktip	AKTIP
Abhd18	ABHD18
AI464131	MYORG
Sepsecs	SEPSECS
Gm13694	CWC22
Gpr27	GPR27
Ankub1	ANKUB1
Spata4	SPATA4
Cenpo	CENPO
Nkapd1	NKAPD1
Lrrc36	LRRC36
Luzp1	LUZP1
Gpatch8	GPATCH8
Rsph1	RSPH1
Rag1	RAG1
Fam3c	FAM3C
Uqcc2	UQCC2
Neurog3	NEUROG3
Acot10	ACOT9
Nsd2	NSD2
Traf7	TRAF7
Tirap	TIRAP
Nars	NARS
Ahnak	AHNAK
Ak6	TAF9
Fam111a	FAM111A
Mdga1	MDGA1
Tceal5	TCEAL5
Tceal5	TCEAL3
Foxi2	FOXI2
Arsa	ARSA
Cdc42ep2	CDC42EP2
Abhd6	ABHD6
Ess2	ESS2
Crybb2	CRYBB2
Myl12b	MYL12B
Arid3c	ARID3C
Bbs1	BBS1
Ccndbp1	CCNDBP1
Bhlhe40	BHLHE40
Klhdc7a	KLHDC7A
Angpt4	ANGPT4
Pdss1	PDSS1
Ces3b	CES3
Serpinf1	SERPINF1
Btbd9	BTBD9
Ap3b2	AP3B2
Gm3376	RBMY1F
Gm3376	RBMY1J
Pfpl	MPEG1
Serp2	SERP2
Sec61b	SEC61B
Pdgfd	PDGFD
Gm10352	RBMY1F
Gm10352	RBMY1J
Klf3	KLF3
Casp12	CASP12
Bag3	BAG3
Speg	SPEG
Slc52a3	SLC52A3
Ahcyl2	AHCYL2
Irf2bp1	IRF2BP1
Ift57	IFT57
Pmp22	PMP22
Gm37388	PCDHA5
Pim2	PIM2
D930020B18Rik	C12orf56
Ppp1r3c	PPP1R3C
Uhrf1	UHRF1
Siah1a	SIAH1
Rgs9bp	RGS9BP
Cyp24a1	CYP24A1
2310030G06Rik	C11orf52
2510002D24Rik	C22orf39
Adra2b	ADRA2B
Cramp1l	CRAMP1
Flywch2	FLYWCH2
Apol9a	APOL4
Apol9a	APOL2
Apol9a	APOL1
Olfr504	OR56B1
Lrwd1	LRWD1
Commd2	COMMD2
Ikbkg	IKBKG
Per1	PER1
Hoxa4	HOXA4
Ifnar1	IFNAR1
Pimreg	PIMREG
Ppp3ca	PPP3CA
Rsf1	RSF1
G6pdx	G6PD
Gldn	GLDN
Med11	MED11
Igfl3	IGFL2
Igfl3	IGFL3
Appl1	APPL1
Awat2	AWAT2
Pknox1	PKNOX1
Gstcd	GSTCD
Folr1	FOLR1
Ccno	CCNO
Washc5	WASHC5
Mtch1	MTCH1
Map4	MAP4
B4galt5	B4GALT5
Slx1b	SLX1A
Olfr13	OR2A7
Tyr	TYR
Reep5	REEP5
Utp18	UTP18
Lage3	LAGE3
Ginm1	GINM1
Zfp963	ZNF625-ZNF20
Tmem140	TMEM140
Slc12a8	SLC12A8
Arhgap6	ARHGAP6
Bnip3l	BNIP3L
Olfr698	OR2AG2
Olfr698	OR2AG1
Wwp1	WWP1
Cabs1	CABS1
Dlec1	DLEC1
Slco4c1	SLCO4C1
Htatsf1	HTATSF1
Tspan15	TSPAN15
Serpina3c	SERPINA3
Plcl1	PLCL1
Gpr45	GPR45
Gm7102	MPLKIP
Gpr85	GPR85
Wwtr1	WWTR1
Olfr262	OR5AN1
Cd59a	CD59
Olfr697	OR2AG2
Olfr697	OR2AG1
Ip6k1	IP6K1
Aen	AEN
Rbbp9	RBBP9
Ndufaf7	NDUFAF7
Vps50	VPS50
Usp3	USP3
Ndufv3	NDUFV3
Uxs1	UXS1
Tmem127	TMEM127
Gm21876	SSX5
Gm21876	SSX1
Gm21876	SSX3
Cmtm6	CMTM6
Rell1	RELL1
Dydc2	DYDC2
Pde11a	PDE11A
Runx1	RUNX1
Olfr677	OR52E4
Spice1	SPICE1
Cish	CISH
Cfap20	CFAP20
Syngr1	SYNGR1
Ttyh3	TTYH3
Olfr667	OR52N2
Faiml	FAIM
A730017C20Rik	KIAA1024L
Zfp981	ZNF34
Gm28035	LRRC8A
Cela3a	CELA3A
Cela3a	CELA3B
Trim39	TRIM39
Rcc1	RCC1
Eftud2	EFTUD2
Stx3	STX3
Tcaf2	TCAF2
Tcaf2	TCAF2C
Pikfyve	PIKFYVE
Mypn	MYPN
Prss33	PRSS33
Msx1	MSX1
Gdap1l1	GDAP1L1
Fgf9	FGF9
Tigd4	TIGD4
Csnk2a2	CSNK2A2
Fam47e	FAM47E-STBD1
Fam47e	FAM47E
Armc7	ARMC7
Tm4sf4	TM4SF4
Nelfa	NELFA
Kif4	KIF4A
Ift140	IFT140
Dhrs3	DHRS3
Cklf	CKLF
Rhbdl1	RHBDL1
Acer1	ACER1
Rhbdf2	RHBDF2
Plppr3	PLPPR3
Trmt2b	TRMT2B
Wdr17	WDR17
Cpeb1	CPEB1
Scn4b	SCN4B
Otulin	OTULIN
Cbfb	CBFB
Orc4	ORC4
Col15a1	COL15A1
Spink1	SPINK1
Tut1	TUT1
Dlg1	DLG1
Vgll1	VGLL1
Zic3	ZIC3
Clpp	CLPP
Dpysl5	DPYSL5
Nlrc4	NLRC4
Pvrig	PVRIG
Ints10	INTS10
Caln1	CALN1
Dennd1c	DENND1C
Fam181b	FAM181B
Npm3	NPM3
CK137956	C1orf94
Sugt1	SUGT1
Izumo4	IZUMO4
Prss27	PRSS27
Fbxo25	FBXO25
Otoa	OTOA
Gast	GAST
Phf10	PHF10
Lrrc30	LRRC30
Prrc1	PRRC1
Tmem230	TMEM230
Rasl10b	RASL10B
Mat1a	MAT1A
Rassf10	RASSF10
Mtmr4	MTMR4
Olfr1437	OR5AN1
Ifna14	IFNA21
Ifna14	IFNA4
Ifna14	IFNA14
Ifna14	IFNA10
Ifna14	IFNA16
Ifna14	IFNA17
Ifna14	IFNA7
Ifna14	IFNA5
Ifna14	IFNA6
Ifna14	IFNA13
Ifna14	IFNA2
Ifna14	IFNA8
Ifna14	IFNA1
Tbx20	TBX20
Otub2	OTUB2
Man1a	MAN1A1
Angpt1	ANGPT1
Catsper3	CATSPER3
Cntnap2	CNTNAP2
Olfr66	OR51B4
Mbnl1	MBNL1
Psmd11	PSMD11
Nelfe	NELFE
Tesk1	TESK1
Gm43302	GBP6
Serpina1a	SERPINA1
Ppid	PPID
Prodh2	PRODH2
Slitrk6	SLITRK6
Sfxn4	SFXN4
Aurkb	AURKB
Trpc4	TRPC4
Tmem240	TMEM240
Brix1	BRIX1
Lat	LAT
BC051142	C6orf10
Cyyr1	CYYR1
Clec4d	CLEC4D
Nanos1	NANOS1
Ezh2	EZH2
Srp54b	SRP54
Rad21	RAD21
Aga	AGA
Satb2	SATB2
Ucp1	UCP1
Ror1	ROR1
Art3	ART3
Slc25a41	SLC25A41
Rxfp1	RXFP1
Fam171b	FAM171B
Naa35	NAA35
Fam184a	FAM184A
Tmem217	TMEM217
Enam	ENAM
Pum3	PUM3
Slco5a1	SLCO5A1
Gpr75	GPR75
Ptprg	PTPRG
Tex19.1	TEX19
Foxa3	FOXA3
Abhd11	ABHD11
Cnmd	CNMD
Lynx1	LYNX1
Fam169b	FAM169B
Arhgap33	ARHGAP33
Scaf1	SCAF1
Fbxl7	FBXL7
Serpina11	SERPINA11
Lrrc14b	LRRC14B
Ssxb8	SSX5
Ssxb8	SSX1
Ssxb8	SSX3
Rgs19	RGS19
Fsip1	FSIP1
Fndc10	FNDC10
Ddah2	DDAH2
Cdc25a	CDC25A
Hs6st2	HS6ST2
Serpina3k	SERPINA3
Iah1	IAH1
Nfe2l2	NFE2L2
Syt1	SYT1
Tmem35a	TMEM35A
Dhx36	DHX36
Aoc2	AOC2
Xrn1	XRN1
Nr1h3	NR1H3
Igfbp4	IGFBP4
BC048671	C3orf22
Dcun1d2	DCUN1D2
Ppp2r5b	PPP2R5B
Tprg	TPRG1
Fastkd1	FASTKD1
Rgs9	RGS9
Pi16	PI16
Chmp5	CHMP5
Vamp7	VAMP7
Atp6ap1l	ATP6AP1L
Ptpre	PTPRE
March7	MARCH7
Helq	HELQ
Blk	BLK
Decr1	DECR1
Ssxb9	SSX5
Ssxb9	SSX1
Ssxb9	SSX3
BC017158	C16orf58
Npepl1	NPEPL1
Cdk11b	CDK11B
Gm28042	JMJD7-PLA2G4B
Gm28042	PLA2G4B
Pnck	PNCK
Slc12a6	SLC12A6
Usp9x	USP9X
Tank	TANK
Gmcl1	GMCL1
Rbbp8nl	RBBP8NL
Elfn2	ELFN2
Serpinb10	SERPINB10
Sec13	SEC13
Phactr4	PHACTR4
Jund	JUND
Mphosph10	MPHOSPH10
Ces3a	CES3
Rbm26	RBM26
Olfr715	OR2D2
Gpr18	GPR18
Mrpl23	MRPL23
Ifna15	IFNA21
Ifna15	IFNA4
Ifna15	IFNA14
Ifna15	IFNA10
Ifna15	IFNA16
Ifna15	IFNA17
Ifna15	IFNA7
Ifna15	IFNA5
Ifna15	IFNA6
Ifna15	IFNA13
Ifna15	IFNA2
Ifna15	IFNA8
Ifna15	IFNA1
Rbmy	RBMY1F
Rbmy	RBMY1J
Ttc12	TTC12
Madd	MADD
Olfm2	OLFM2
Sox6	SOX6
Mob4	MOB4
Mob4	HSPE1-MOB4
Krt77	KRT77
Srfbp1	SRFBP1
Kctd12	KCTD12
Hspb2	HSPB2-C11orf52
Hspb2	HSPB2
Gal3st1	GAL3ST1
Emc4	EMC4
Mrps18a	MRPS18A
Nomo1	NOMO3
Rsph9	RSPH9
2010003K11Rik	C11orf86
Serpinb13	SERPINB13
Ifna1	IFNA21
Ifna1	IFNA4
Ifna1	IFNA14
Ifna1	IFNA10
Ifna1	IFNA16
Ifna1	IFNA17
Ifna1	IFNA7
Ifna1	IFNA5
Ifna1	IFNA6
Ifna1	IFNA13
Ifna1	IFNA2
Ifna1	IFNA8
Ifna1	IFNA1
Khdrbs1	KHDRBS1
Cttn	CTTN
Npc1l1	NPC1L1
Ankrd23	ANKRD23
Olfr694	OR2AG2
Olfr694	OR2AG1
Dpysl2	DPYSL2
Ccdc103	FAM187A
Ccdc103	CCDC103
Osgin2	OSGIN2
Gm5868	SLC10A4
Nfx1	NFX1
Mettl16	METTL16
Exosc3	EXOSC3
Mmp23	MMP23B
Tmem204	TMEM204
Derl2	DERL2
Krt2	KRT2
Prkg1	PRKG1
Ufd1	UFD1
Abcc8	ABCC8
Padi3	PADI3
Ctla4	CTLA4
Nphs1	NPHS1
Mblac1	MBLAC1
Mcm4	MCM4
Serpina3b	SERPINA3
Cds2	CDS2
Gm45711	CMTM1
Gm45711	CKLF-CMTM1
Ncoa2	NCOA2
Map7d3	MAP7D3
Senp7	SENP7
Mcemp1	MCEMP1
Tmem94	TMEM94
Ptrhd1	PTRHD1
Ccnl2	CCNL2
Cmip	CMIP
Dolk	DOLK
Ndufs4	NDUFS4
Arhgef7	ARHGEF7
Olfr38	OR2F2
Olfr38	OR2F1
Best1	BEST1
C1galt1	C1GALT1
Cdc6	CDC6
