dblabel	dblabelEFO	EFO	short_dblabel	is_level	l4	l4EFO	l3	l3EFO	l2	l2EFO	l1	l1EFO	l0	l0EFO
mucosal invariant T cell	mucosal invariant T cell	CL:0000940	MAIT	4			T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
lymphocyte of B lineage	lymphocyte of B lineage	CL:0000945	Blymphocyte	2							hematopoietic cell	CL:0000988	cell	CL:0000548
hematopoietic cell	hematopoietic cell	CL:0000988	Hematopoietic	1									cell	CL:0000548
cerebellar granule cell	cerebellar granule cell	CL:0001031	CerebellarGranule	5	granule cell	CL:0000120	central nervous system neuron	CL:2000029	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
bone cell	bone cell	CL:0001035	BoneCell	1									cell	CL:0000548
effector CD4-positive, alpha-beta T cell	effector CD4-positive, alpha-beta T cell	CL:0001044	EffCD4Tcell	5	CD4-positive, alpha-beta T cell	CL:0000624	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
neoplastic cell	neoplastic cell	CL:0001063	Neoplastic	0										
malignant cell	malignant cell	CL:0001064	Malignant	1									neoplastic cell	CL:0001063
innate lymphoid cell	innate lymphoid cell	CL:0001065	InnateLymphoid	3					lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
pre-conventional dendritic cell	pre-conventional dendritic cell	CL:0002010	PrecDC	3					hematopoietic precursor cell	CL:0008001	hematopoietic cell	CL:0000988	cell	CL:0000548
Sertoli cell	Sertoli cell	CL:0000216	Sertoli	2							epithelial cell	CL:0000066	cell	CL:0000548
long term hematopoietic stem cell	long term hematopoietic stem cell	CL:0002034	LTHematoStem	4			hematopoietic stem cell	CL:0000037	hematopoietic precursor cell	CL:0008001	hematopoietic cell	CL:0000988	cell	CL:0000548
skeletal muscle satellite stem cell	skeletal muscle satellite stem cell	CL:0008011	MuscleSatelliteStem	4			skeletal muscle satellite cell	CL:0000594	muscle precursor cell	CL:0000680	precursor cell	CL:0011115	cell	CL:0000548
Slamf1-negative multipotent progenitor cell	Slamf1-negative multipotent progenitor cell	CL:0002035	MultipotentPC_SLAMFneg	4			hematopoietic multipotent progenitor cell	CL:0000837	hematopoietic precursor cell	CL:0008001	hematopoietic cell	CL:0000988	cell	CL:0000548
Fraction A pre-pro B cell	Fraction A pre-pro B cell	CL:0002045	FrAPreProBcell	4			pro-B cell	CL:0000826	lymphoid lineage restricted progenitor cell	CL:0000838	hematopoietic cell	CL:0000988	cell	CL:0000548
early pro-B cell	early pro-B cell	CL:0002046	EarlyProBcell	4			pro-B cell	CL:0000826	lymphoid lineage restricted progenitor cell	CL:0000838	hematopoietic cell	CL:0000988	cell	CL:0000548
late pro-B cell	late pro-B cell	CL:0002048	LateProBcell	4			pro-B cell	CL:0000826	lymphoid lineage restricted progenitor cell	CL:0000838	hematopoietic cell	CL:0000988	cell	CL:0000548
type I pneumocyte	type I pneumocyte	CL:0002062	T1Pneumocyte	4			pneumocyte	CL:0000322	epithelial cell of lung	CL:0000082	epithelial cell	CL:0000066	cell	CL:0000548
type II pneumocyte	type II pneumocyte	CL:0002063	T2Pneumocyte	4			pneumocyte	CL:0000322	epithelial cell of lung	CL:0000082	epithelial cell	CL:0000066	cell	CL:0000548
pancreatic acinar cell	pancreatic acinar cell	CL:0002064	PancreaticAcinar	4			acinar cell	CL:0000622	glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
enterocyte of epithelium of large intestine	enterocyte of epithelium of large intestine	CL:0002071	EnterocyteLargeIntest	5	enterocyte	CL:0000584	intestinal epithelial cell	CL:0002563	endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
endo-epithelial cell	endo-epithelial cell	CL:0002076	EndoEpithelial	2							epithelial cell	CL:0000066	cell	CL:0000548
ecto-epithelial cell	ecto-epithelial cell	CL:0002077	EctoEpithelial	2							epithelial cell	CL:0000066	cell	CL:0000548
pancreatic ductal cell	pancreatic ductal cell	CL:0002079	PancreaticDuctal	3					duct epithelial cell	CL:0000068	epithelial cell	CL:0000066	cell	CL:0000548
tanycyte	tanycyte	CL:0002085	Tanycyte	5	astrocyte	CL:0000127	macroglial cell	CL:0000126	glial cell	CL:0000125	neural cell	CL:0002319	cell	CL:0000548
bone marrow cell	bone marrow cell	CL:0002092	BoneMarrowCell	2							bone cell	CL:0001035	cell	CL:0000548
endothelial cell of vascular tree	endothelial cell of vascular tree	CL:0002139	EndothelialVascular	2							endothelial cell	CL:0000115	cell	CL:0000548
ciliated columnar cell of tracheobronchial tree	ciliated columnar cell of tracheobronchial tree	CL:0002145	CCTracheobronchial	4			respiratory epithelial cell	CL:0002368	endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
basal cell of epidermis	basal cell of epidermis	CL:0002187	BasalEpidermis	5	keratinocyte	CL:0000312	epidermal cell	CL:0000362	ecto-epithelial cell	CL:0002077	epithelial cell	CL:0000066	cell	CL:0000548
granulocytopoietic cell	granulocytopoietic cell	CL:0002191	Granulocytopoetic	4			myeloid lineage restricted progenitor cell	CL:0000839	hematopoietic precursor cell	CL:0008001	hematopoietic cell	CL:0000988	cell	CL:0000548
brush cell of epithelium proper of large intestine	brush cell of epithelium proper of large intestine	CL:0002203	LargeIntestineBrush	4			brush cell	CL:0002204	endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
brush cell	brush cell	CL:0002204	Brush	3					endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
epithelial cell of large intestine	epithelial cell of large intestine	CL:0002253	LargeIntestineEpith	4			intestinal epithelial cell	CL:0002563	endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
neuroepithelial stem cell	neuroepithelial stem cell	CL:0002259	NeuroepithelialStem	4			somatic stem cell	CL:0000723	stem cell	CL:0000034	precursor cell	CL:0011115	cell	CL:0000548
endothelial cell of sinusoid	endothelial cell of sinusoid	CL:0002262	EndothelialSinusoid	2							endothelial cell	CL:0000115	cell	CL:0000548
pancreatic PP cell	pancreatic PP cell	CL:0002275	PancreaticPP	5	PP cell	CL:0000696	enteroendocrine cell	CL:0000164	glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
epithelial cell of distal tubule	epithelial cell of distal tubule	CL:0002305	TubuleEpithelial	3					epithelial cell of nephron	CL:1000449	epithelial cell	CL:0000066	cell	CL:0000548
epithelial cell of proximal tubule	epithelial cell of proximal tubule	CL:0002306	ProximalTubule	3					epithelial cell of nephron	CL:1000449	epithelial cell	CL:0000066	cell	CL:0000548
neural cell	neural cell	CL:0002319	Neural	1									cell	CL:0000548
connective tissue cell	connective tissue cell	CL:0002320	ConnectiveTissue	1									cell	CL:0000548
embryonic stem cell	embryonic stem cell	CL:0002322	EmbryonicStem	3					stem cell	CL:0000034	precursor cell	CL:0011115	cell	CL:0000548
luminal epithelial cell of mammary gland	luminal epithelial cell of mammary gland	CL:0002326	MammaryLumEpith	4			branched duct epithelial cell	CL:0000069	duct epithelial cell	CL:0000068	epithelial cell	CL:0000066	cell	CL:0000548
bronchial epithelial cell	bronchial epithelial cell	CL:0002328	BronchialEpithelial	4			respiratory epithelial cell	CL:0002368	endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
keratinocyte stem cell	keratinocyte stem cell	CL:0002337	KeratinocyteStem	5	keratinocyte	CL:0000312	epidermal cell	CL:0000362	ecto-epithelial cell	CL:0002077	epithelial cell	CL:0000066	cell	CL:0000548
endocardial cell	endocardial cell	CL:0002350	Endocardial	3					cardiac endothelial cell	CL:0010008	endothelial cell	CL:0000115	cell	CL:0000548
respiratory epithelial cell	respiratory epithelial cell	CL:0002368	RespiratoryEpithelial	3					endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
CD141-positive myeloid dendritic cell	CD141-positive myeloid dendritic cell	CL:0002394	cDC1	4			myeloid dendritic cell	CL:0002394	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
CD1c-positive myeloid dendritic cell	CD1c-positive myeloid dendritic cell	CL:0002399	cDC2	4			myeloid dendritic cell	CL:0002394	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
pancreatic stellate cell	pancreatic stellate cell	CL:0002410	PancStellate	3					fibroblast	CL:0000057	connective tissue cell	CL:0002320	cell	CL:0000548
immature T cell	immature T cell	CL:0002420	ImmatureTcell	4			T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
oligodendrocyte precursor cell	oligodendrocyte precursor cell	CL:0002453	OligodendrocytePC	5	oligodendrocyte	CL:0000128	macroglial cell	CL:0000126	glial cell	CL:0000125	neural cell	CL:0002319	cell	CL:0000548
fibroblast of lung	fibroblast of lung	CL:0002553	LungFibroblast	3					fibroblast	CL:0000057	connective tissue cell	CL:0002320	cell	CL:0000548
intestinal epithelial cell	intestinal epithelial cell	CL:0002563	IntestinalEpithelial	3					endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
mesenchymal stem cell of adipose	mesenchymal stem cell of adipose	CL:0002570	AdiposeMSC	5	mesenchymal stem cell	CL:0000134	multi fate stem cell	CL:0000048	stem cell	CL:0000034	precursor cell	CL:0011115	cell	CL:0000548
Schwann cell	Schwann cell	CL:0002573	Schwann	3					glial cell	CL:0000125	neural cell	CL:0002319	cell	CL:0000548
central nervous system pericyte	central nervous system pericyte	CL:0002575	CNSPericyte	3					pericyte	CL:0000669	connective tissue cell	CL:0002320	cell	CL:0000548
retinal blood vessel endothelial cell	retinal blood vessel endothelial cell	CL:0002585	RetinalVesselEndo	4			blood vessel endothelial cell	CL:0000071	endothelial cell of vascular tree	CL:0002139	endothelial cell	CL:0000115	cell	CL:0000548
retinal pigment epithelial cell	retinal pigment epithelial cell	CL:0002586	RetPigmentEpith	3					pigment cell	CL:0000147	epithelial cell	CL:0000066	cell	CL:0000548
endothelial cell of high endothelial venule	endothelial cell of high endothelial venule	CL:0002652	HEVEndothelial	3					endothelial cell of vascular tree	CL:0002139	endothelial cell	CL:0000115	cell	CL:0000548
endothelial stalk cell	endothelial stalk cell	CL:0002671	StalkEndothelial	4			blood vessel endothelial cell	CL:0000071	endothelial cell of vascular tree	CL:0002139	endothelial cell	CL:0000115	cell	CL:0000548
ionocyte	ionocyte	CL:0005006	Ionocyte	2							epithelial cell	CL:0000066	cell	CL:0000548
pancreatic epsilon cell	pancreatic epsilon cell	CL:0005019	EpsilonPancreatic	5	pancreatic endocrine cell	CL:0008024	enteroendocrine cell	CL:0000164	glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
hematopoietic precursor cell	hematopoietic precursor cell	CL:0008001	HematopoeticPC	2							hematopoietic cell	CL:0000988	cell	CL:0000548
skeletal muscle satellite cell	skeletal muscle satellite cell	CL:0000594	MuscleSatellite	3					muscle precursor cell	CL:0000680	precursor cell	CL:0011115	cell	CL:0000548
mesenchymal cell	mesenchymal cell	CL:0008019	Mesenchymal	1									cell	CL:0000548
pancreatic endocrine cell	pancreatic endocrine cell	CL:0008024	PancreaticEndocrine	4			enteroendocrine cell	CL:0000164	glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
inhibitory neuron	inhibitory neuron	CL:0008029	InhibitoryN	3					neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
excitatory neuron	excitatory neuron	CL:0008030	ExcitatoryN	3					neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
stromal cell of bone marrow	stromal cell of bone marrow	CL:0010001	StromalBoneMarrow	3					bone marrow cell	CL:0002092	bone cell	CL:0001035	cell	CL:0000548
camera-type eye photoreceptor cell	camera-type eye photoreceptor cell	CL:0010009	CameraEyePhotorec	5	photoreceptor cell	CL:0000210	sensory neuron	CL:0000101	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
neural progenitor cell	neural progenitor cell	CL:0011020	NeuralPC	2							precursor cell	CL:0011115	cell	CL:0000548
histaminergic neuron	histaminergic neuron	CL:0011110	HistaminergicN	3					neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
precursor cell	precursor cell	CL:0011115	Precursor	1									cell	CL:0000548
large intestine goblet cell	large intestine goblet cell	CL:1000320	LargeIntestGoblet	4			goblet cell	CL:0000160	glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
basal cell of epithelium of trachea	basal cell of epithelium of trachea	CL:1000348	BasalTrachealEpith	5	tracheal epithelial cell	CL:0000307	respiratory epithelial cell	CL:0002368	endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
endothelial cell of hepatic sinusoid	endothelial cell of hepatic sinusoid	CL:1000398	LiverSinusoidEndo	3					endothelial cell of sinusoid	CL:0002262	endothelial cell	CL:0000115	cell	CL:0000548
stem cell of epidermis	stem cell of epidermis	CL:1000428	EpidermisStem	4			somatic stem cell	CL:0000723	stem cell	CL:0000034	precursor cell	CL:0011115	cell	CL:0000548
epithelial cell of nephron	epithelial cell of nephron	CL:1000449	NephronEpithelial	2							epithelial cell	CL:0000066	cell	CL:0000548
parietal epithelial cell	parietal epithelial cell	CL:1000452	ParietalEpithelial	4			kidney glomerular epithelial cell	CL:1000510	epithelial cell of nephron	CL:1000449	epithelial cell	CL:0000066	cell	CL:0000548
cholangiocyte	cholangiocyte	CL:1000488	Cholangiocyte	3					duct epithelial cell	CL:0000068	epithelial cell	CL:0000066	cell	CL:0000548
lower urinary tract cell	lower urinary tract cell	CL:1000600	LowUrinaryTract	1									cell	CL:0000548
kidney proximal straight tubule epithelial cell	kidney proximal straight tubule epithelial cell	CL:1000839	ProxStraightTubule	4			epithelial cell of proximal tubule	CL:0002306	epithelial cell of nephron	CL:1000449	epithelial cell	CL:0000066	cell	CL:0000548
kidney distal convoluted tubule epithelial cell	kidney distal convoluted tubule epithelial cell	CL:1000849	DistalConvTubule	4			epithelial cell of distal tubule	CL:0002305	epithelial cell of nephron	CL:1000449	epithelial cell	CL:0000066	cell	CL:0000548
kidney capillary endothelial cell	kidney capillary endothelial cell	CL:1000892	KidneyCapillaryEndo	4			blood vessel endothelial cell	CL:0000071	endothelial cell of vascular tree	CL:0002139	endothelial cell	CL:0000115	cell	CL:0000548
kidney loop of Henle epithelial cell	kidney loop of Henle epithelial cell	CL:1000909	HenleTubule	3					epithelial cell of nephron	CL:1000449	epithelial cell	CL:0000066	cell	CL:0000548
kidney collecting duct cell	kidney collecting duct cell	CL:1001225	KidneyDuct	3					duct epithelial cell	CL:0000068	epithelial cell	CL:0000066	cell	CL:0000548
bladder cell	bladder cell	CL:1001319	BladderCell	2							lower urinary tract cell	CL:1000600	cell	CL:0000548
bladder urothelial cell	bladder urothelial cell	CL:1001428	BladderUrothelial	3					bladder cell	CL:1001319	lower urinary tract cell	CL:1000600	cell	CL:0000548
lung endothelial cell	lung endothelial cell	CL:1001567	LungEndothelial	4			blood vessel endothelial cell	CL:0000071	endothelial cell of vascular tree	CL:0002139	endothelial cell	CL:0000115	cell	CL:0000548
mammary gland glandular cell	mammary gland glandular cell	CL:1001586	MammaryGlandular	3					glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
lung macrophage	lung macrophage	CL:1001603	LungMacrophage	4			macrophage	CL:0000235	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
bone marrow hematopoietic cell	bone marrow hematopoietic cell	CL:1001610	BoneMarrowHemato	2							hematopoietic cell	CL:0000988	cell	CL:0000548
microvascular endothelial cell	microvascular endothelial cell	CL:2000008	MicroVascEndo	4			blood vessel endothelial cell	CL:0000071	endothelial cell of vascular tree	CL:0002139	endothelial cell	CL:0000115	cell	CL:0000548
cerebellum basket cell	cerebellum basket cell	CL:2000027	CerebellumBasket	5	basket cell	CL:0000118	central nervous system neuron	CL:2000029	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
central nervous system neuron	central nervous system neuron	CL:2000029	CNSNeuron	3					neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
brain pericyte	brain pericyte	CL:2000043	BrainPericyte	4			central nervous system pericyte	CL:0002575	pericyte	CL:0000669	connective tissue cell	CL:0002320	cell	CL:0000548
inflammatory monocyte		DB:0000001	InflamMonocyte	4			monocyte	CL:0000576	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
exhausted-like CD4-positive, alpha-beta T cell		DB:0000002	ExhCD4Tcell	5	CD4-positive, alpha-beta T cell	CL:0000624	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
proliferating CD8-positive, alpha-beta T cell		DB:0000003	ProlifCD8Tcell	5	CD8-positive, alpha-beta T cell	CL:0000625	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
CCR7-positive myeloid dendritic cell		DB:0000004	cDC_CCR7	4			myeloid dendritic cell	CL:0000782	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
exhausted-like CD8-positive, alpha-beta T cell		DB:0000005	ExhCD8Tcell	5	CD8-positive, alpha-beta T cell	CL:0000625	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
melanocytic melanoma cell		DB:0000006	MelMelanoma	2							malignant cell	CL:0001064	neoplastic cell	CL:0001063
IL7R-max CD8-positive, alpha-beta cytotoxic T cell		DB:0000007	CD8Tcell_IL7Rmax	5	CD8-positive, alpha-beta T cell	CL:0000625	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
IL7R-max CD4-positive, alpha-beta cytotoxic T cell		DB:0000040	CD4Tcell_IL7Rmax	5	CD4-positive, alpha-beta T cell	CL:0000624	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
doublet		DB:0000008	Doublet	1									cell	CL:0000548
immature enterocyte		DB:0000009	ImmatureEnterocyte	5	enterocyte	CL:0000584	intestinal epithelial cell	CL:0002563	endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
immature goblet cell		DB:0000010	ImmatureGoblet	4			goblet cell	CL:0000160	glandular epithelial cell	CL:0000150	epithelial cell	CL:0000066	cell	CL:0000548
inflammatory fibroblast		DB:0000011	InflamFibroblast	3					fibroblast	CL:0000057	connective tissue cell	CL:0002320	cell	CL:0000548
artifact		DB:0000012	Artifact	1									cell	CL:0000548
proliferating neuron		DB:0000013	ProlifNeuron	3					neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
myeloid T cell doublet		DB:0000014	MyeloTcell	2							hematopoietic cell	CL:0000988	cell	CL:0000548
natural killer or T cell		DB:0000015	NKorTcell	3					lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
newly formed oligodendrocyte		DB:0000016	NFOligodendrocyte	5	oligodendrocyte	CL:0000128	macroglial cell	CL:0000126	glial cell	CL:0000125	neural cell	CL:0002319	cell	CL:0000548
nonhematopoeitic cell		DB:0000017	NonHematopoeitic	1									cell	CL:0000548
proliferating B cell		DB:0000018	ProlifBcell	4			B cell	CL:0000236	lymphocyte of B lineage	CL:0000945	hematopoietic cell	CL:0000988	cell	CL:0000548
proliferating monocyte		DB:0000020	ProlifMonocyte	4			monocyte	CL:0000576	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
proliferating T cell		DB:0000021	ProlifTcell	4			T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
proliferating CD4-positive, alpha-beta T cell		DB:0000022	ProlifCD4Tcell	5	CD4-positive, alpha-beta T cell	CL:0000624	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
proliferating transit amplifying cell		DB:0000023	ProlifTAmplifying	5	transit amplifying cell	DB:0000024	intestinal epithelial cell	CL:0002563	endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
transit amplifying cell		CL:0009010	TAmplifying	4			intestinal epithelial cell	CL:0002563	endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
SLC17A7-positive neuron		DB:0000025	Neuron_SLC17A7	4			glutamatergic neuron	CL:0000679	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
SLC17A6_SLC17A8-positive neuron		DB:0000057	Neuron_SLC17A6_SLC17A8	4			glutamatergic neuron	CL:0000679	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
SLC17A6_PVALB-positive neuron		DB:0000085	Neuron_SLC17A6_PVALB	4			glutamatergic neuron	CL:0000679	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
GAD1-positive neuron		DB:0000028	Neuron_GAD1	4			GABAergic neuron	CL:0000617	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
GAD1_GAD2-positive neuron		DB:0000029	Neuron_GAD1_GAD2	4			GABAergic neuron	CL:0000617	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
GAD1_GAD2_VIP-positive neuron		DB:0000041	Neuron_GAD1_GAD2_VIP	4			GABAergic neuron	CL:0000617	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
MGP-positive endothelial stalk cell		DB:0000030	StalkEndothelial_MGP	5	endothelial stalk cell	CL:0002671	blood vessel endothelial cell	CL:0000071	endothelial cell of vascular tree	CL:0002139	endothelial cell	CL:0000115	cell	CL:0000548
GAD1_GAD2_SST-positive neuron		DB:0000042	Neuron_GAD1_GAD2_SST	4			GABAergic neuron	CL:0000617	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
GAD1_GAD2_PVALB-positive neuron		DB:0000032	Neuron_GAD1_GAD2_PVALB	4			GABAergic neuron	CL:0000617	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
GAD1_GAD2_CPLX3-positive neuron		DB:0000033	Neuron_GAD1_GAD2_CPLX3	4			GABAergic neuron	CL:0000617	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
GAD1_GAD2_HTR3A-positive neuron		DB:0000034	Neuron_GAD1_GAD2_HTR3A	4			GABAergic neuron	CL:0000617	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
GAD1_GAD2_TAC2-positive neuron		DB:0000035	Neuron_GAD1_GAD2_TAC2	4			GABAergic neuron	CL:0000617	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
SLC17A8-positive neuron		DB:0000036	Neuron_SLC17A8	4			glutamatergic neuron	CL:0000679	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
enterocyte progenitor		DB:0000037	EnterocytePC	4			intestinal epithelial cell	CL:0002563	endo-epithelial cell	CL:0002076	epithelial cell	CL:0000066	cell	CL:0000548
GAD1_GAD2_ID2-positive neuron		DB:0000038	Neuron_GAD1_GAD2_ID2	4			GABAergic neuron	CL:0000617	neuron	CL:0000540	neural cell	CL:0002319	cell	CL:0000548
SATB2_EBF3_GLYT1-positive amacrine cell		DB:0000039	Amacrine_SATB2_EBF3_GLYT1	3					amacrine cell	CL:0000561	neural cell	CL:0002319	cell	CL:0000548
epithelial cell derived cell line	epithelial cell derived cell line	EFO:0001641	EpithelialCellLine	1									cultured cell	CL:0000010
U-87 MG	U-87 MG	EFO:0005237	U87MG	2							epithelial cell derived cell line	EFO:0001641	cultured cell	CL:0000010
embryonic cell	embryonic cell	CL:0002321	Embryonic	1									cell	CL:0000548
immature conventional dendritic cell	immature conventional dendritic cell	CL:0000840	ImmaturecDC	4			myeloid dendritic cell	CL:0002394	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
activated T cell		DB:0000043	ActTcell	4			T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
CD8-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell	CL:0000909	MemCD8Tcell	5	CD8-positive, alpha-beta T cell	CL:0000625	T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
group 1 innate lymphoid cell	group 1 innate lymphoid cell	CL:0001067	ILC1	4			innate lymphoid cell	CL:0001065	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
group 2 innate lymphoid cell	group 2 innate lymphoid cell	CL:0001069	ILC2	4			innate lymphoid cell	CL:0001065	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
group 3 innate lymphoid cell	group 3 innate lymphoid cell	CL:0001071	ILC3	4			innate lymphoid cell	CL:0001065	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
IgA plasma cell	IgA plasma cell	CL:0000987	IgAPlasma	4			plasma cell	CL:0000786	lymphocyte of B lineage	CL:0000945	hematopoietic cell	CL:0000988	cell	CL:0000548
IgG plasma cell	IgG plasma cell	CL:0000985	IgGPlasma	4			plasma cell	CL:0000786	lymphocyte of B lineage	CL:0000945	hematopoietic cell	CL:0000988	cell	CL:0000548
IgM or IgA plasma cell		DB:0000044	IgMorIgAPlasma	4			plasma cell	CL:0000786	lymphocyte of B lineage	CL:0000945	hematopoietic cell	CL:0000988	cell	CL:0000548
IgM plasma cell	IgM plasma cell	CL:0000986	IgMPlasma	4			plasma cell	CL:0000786	lymphocyte of B lineage	CL:0000945	hematopoietic cell	CL:0000988	cell	CL:0000548
naive T cell	naive T cell	CL:0000898	NaiTcell	4			T cell	CL:0000084	lymphocyte	CL:0000542	hematopoietic cell	CL:0000988	cell	CL:0000548
CMS1 colorectal cancer cell		DB:0000045	CMS1Colorectal	3					colorectal cancer cell	DB:0000049	malignant cell	CL:0001064	neoplastic cell	CL:0001063
CMS2 colorectal cancer cell		DB:0000046	CMS2Colorectal	3					colorectal cancer cell	DB:0000049	malignant cell	CL:0001064	neoplastic cell	CL:0001063
CMS3 colorectal cancer cell		DB:0000047	CMS3Colorectal	3					colorectal cancer cell	DB:0000049	malignant cell	CL:0001064	neoplastic cell	CL:0001063
CMS4 colorectal cancer cell		DB:0000048	CMS4Colorectal	3					colorectal cancer cell	DB:0000049	malignant cell	CL:0001064	neoplastic cell	CL:0001063
colorectal cancer cell		DB:0000049	Colorectal	2							malignant cell	CL:0001064	neoplastic cell	CL:0001063
enteric glial cell		DB:0000050	EntericGlial	3					glial cell	CL:0000125	neural cell	CL:0002319	cell	CL:0000548
endothelial cell of lymphatic vessel	endothelial cell of lymphatic vessel	CL:0002138	EndothelialLymph	3					endothelial cell of vascular tree	CL:0002139	endothelial cell	CL:0000115	cell	CL:0000548
MSR1-positive macrophage		DB:0000056	Macrophage_MSR1	4			macrophage	CL:0000235	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
MARCO-positive macrophage		DB:0000054	Macrophage_MARCO	4			macrophage	CL:0000235	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
CXCL9-positive macrophage		DB:0000055	Macrophage_CXCL9	4			macrophage	CL:0000235	myeloid leukocyte	CL:0000766	hematopoietic cell	CL:0000988	cell	CL:0000548
choroid plexus epithelial cell	choroid plexus epithelial cell	CL:0000706	ChoroidPlexusEpithelial	4			ependymal cell	CL:0000065	ciliated epithelial cell	CL:0000067	epithelial cell	CL:0000066	cell	CL:0000548
exhausted B cell		DB:0000051	ExhBcell	4			B cell	CL:0000236	lymphocyte of B lineage	CL:0000945	hematopoietic cell	CL:0000988	cell	CL:0000548
